CUST_ID,CUST_NAME,CUST_SEGMENT,POSTAL_CODE,CITY,STATE,REGION
2867,Dana Teague,Corporate,20016,Washington,District of Columbia,East
1821,Vanessa Boyer,Consumer,10177,New York City,New York,East
1402,Wesley Tate,Corporate,60653,Chicago,Illinois,Central
1402,Wesley Tate,Corporate,60653,Chicago,Illinois,Central
2747,Brian Grady,Corporate,10115,New York City,New York,East
2747,Brian Grady,Corporate,10115,New York City,New York,East
553,Kristine Connolly,Corporate,90008,Los Angeles,California,West
3289,Emily Britt,Corporate,90049,Los Angeles,California,West
3289,Emily Britt,Corporate,90049,Los Angeles,California,West
1630,Jimmy Han,Home Office,77095,Houston,Texas,Central
898,Harriet Hodges,Small Business,10039,New York City,New York,East
3106,Alexander O'Brien,Home Office,77041,Houston,Texas,Central
3106,Alexander O'Brien,Home Office,77041,Houston,Texas,Central
3106,Alexander O'Brien,Home Office,77041,Houston,Texas,Central
3011,Tammy Raynor,Corporate,2113,Boston,Massachusetts,East
3011,Tammy Raynor,Corporate,2113,Boston,Massachusetts,East
563,Marjorie Pope,Corporate,75081,Dallas,Texas,Central
563,Marjorie Pope,Corporate,75081,Dallas,Texas,Central
1106,Maxine Collier Grady,Small Business,75220,Dallas,Texas,Central
607,Clara Hauser,Corporate,10177,New York City,New York,East
607,Clara Hauser,Corporate,10177,New York City,New York,East
1488,Anthony Goodwin,Home Office,10045,New York City,New York,East
1106,Maxine Collier Grady,Small Business,75220,Dallas,Texas,Central
2382,Geoffrey Saunders,Small Business,10024,New York City,New York,East
2382,Geoffrey Saunders,Small Business,10024,New York City,New York,East
2491,Sean N Boyer,Home Office,90045,Los Angeles,California,West
308,Glen Caldwell,Consumer,98115,Seattle,Washington,West
1413,Pamela Wiley,Corporate,2113,Boston,Massachusetts,East
1745,Herbert Holden,Home Office,30305,Atlanta,Georgia,South
3251,Peter Brooks,Small Business,10112,New York City,New York,East
94,Eddie House Mueller,Home Office,60601,Chicago,Illinois,Central
94,Eddie House Mueller,Home Office,60601,Chicago,Illinois,Central
94,Eddie House Mueller,Home Office,60601,Chicago,Illinois,Central
2645,Ronnie Dodson,Consumer,98103,Seattle,Washington,West
2645,Ronnie Dodson,Consumer,98103,Seattle,Washington,West
2645,Ronnie Dodson,Consumer,98103,Seattle,Washington,West
2645,Ronnie Dodson,Consumer,98103,Seattle,Washington,West
1193,Louis Parrish,Consumer,20016,Washington,District of Columbia,East
1314,Keith Marsh,Home Office,90058,Los Angeles,California,West
2882,Andrew Gonzalez,Consumer,28206,Charlotte,North Carolina,South
553,Kristine Connolly,Corporate,90008,Los Angeles,California,West
607,Clara Hauser,Corporate,10177,New York City,New York,East
2303,Joe Baldwin,Corporate,10011,New York City,New York,East
478,Michael Wiggins,Small Business,10177,New York City,New York,East
478,Michael Wiggins,Small Business,10177,New York City,New York,East
2107,Leigh Burnette Hurley,Corporate,60601,Chicago,Illinois,Central
478,Michael Wiggins,Small Business,10177,New York City,New York,East
2645,Ronnie Dodson,Consumer,98103,Seattle,Washington,West
68,Scott Bunn,Corporate,10177,New York City,New York,East
68,Scott Bunn,Corporate,10177,New York City,New York,East
68,Scott Bunn,Corporate,10177,New York City,New York,East
640,Neal Wolfe,Consumer,98119,Seattle,Washington,West
699,Jenny Gold,Consumer,90041,Los Angeles,California,West
2618,Amy Hamrick Melvin,Corporate,10004,New York City,New York,East
471,Ross Simpson,Consumer,30318,Atlanta,Georgia,South
1129,Pam Patton,Corporate,2118,Boston,Massachusetts,East
1745,Herbert Holden,Home Office,30305,Atlanta,Georgia,South
1745,Herbert Holden,Home Office,30305,Atlanta,Georgia,South
342,Jacqueline Noble,Corporate,33181,Miami,Florida,South
102,Caroline Johnston,Consumer,2129,Boston,Massachusetts,East
102,Caroline Johnston,Consumer,2129,Boston,Massachusetts,East
3079,Andrew Levine,Consumer,19112,Philadelphia,Pennsylvania,East
2498,Arlene Long,Small Business,92024,San Diego,California,West
181,Wesley Waller,Corporate,94122,San Francisco,California,West
181,Wesley Waller,Corporate,94122,San Francisco,California,West
1193,Louis Parrish,Small Business,20016,Washington,District of Columbia,East
2382,Geoffrey Saunders,Small Business,10024,New York City,New York,East
1733,Nina Horne Kelly,Small Business,20012,Washington,District of Columbia,East
1733,Nina Horne Kelly,Small Business,20012,Washington,District of Columbia,East
1733,Nina Horne Kelly,Small Business,20012,Washington,District of Columbia,East
2403,Kara Gregory,Consumer,60699,Chicago,Illinois,Central
3011,Tammy Raynor,Corporate,2113,Boston,Massachusetts,East
3011,Tammy Raynor,Corporate,2113,Boston,Massachusetts,East
2382,Geoffrey Saunders,Small Business,10024,New York City,New York,East
2548,Wayne Bass,Small Business,90068,Los Angeles,California,West
2548,Wayne Bass,Small Business,90068,Los Angeles,California,West
667,Allison Kirby,Corporate,75203,Dallas,Texas,Central
349,Kim Weiss,Home Office,33132,Miami,Florida,South
699,Jenny Gold,Consumer,90041,Los Angeles,California,West
2882,Andrew Gonzalez,Consumer,28206,Charlotte,North Carolina,South
1488,Anthony Goodwin,Home Office,10045,New York City,New York,East
2107,Leigh Burnette Hurley,Home Office,60601,Chicago,Illinois,Central
2107,Leigh Burnette Hurley,Home Office,60601,Chicago,Illinois,Central
1959,Bonnie Matthews Rowland,Home Office,33916,Miami,Florida,South
1959,Bonnie Matthews Rowland,Home Office,33916,Miami,Florida,South
1959,Bonnie Matthews Rowland,Home Office,33916,Miami,Florida,South
491,Toni Swanson,Consumer,10154,New York City,New York,East
491,Toni Swanson,Consumer,10154,New York City,New York,East
1291,Maria Jackson,Small Business,33180,Miami,Florida,South
198,Leroy Blanchard,Small Business,48138,Detroit,Michigan,Central
198,Leroy Blanchard,Small Business,48138,Detroit,Michigan,Central
272,Eleanor Swain,Home Office,28204,Charlotte,North Carolina,South
272,Eleanor Swain,Home Office,28204,Charlotte,North Carolina,South
1313,Katherine Knight,Corporate,19134,Philadelphia,Pennsylvania,East
1313,Katherine Knight,Corporate,19134,Philadelphia,Pennsylvania,East
1313,Katherine Knight,Corporate,19134,Philadelphia,Pennsylvania,East
1413,Pamela Wiley,Corporate,2113,Boston,Massachusetts,East
1745,Herbert Holden,Consumer,30305,Atlanta,Georgia,South
949,Ernest Oh,Consumer,90049,Los Angeles,California,West
2431,Troy Cassidy,Consumer,90004,Los Angeles,California,West
1193,Louis Parrish,Consumer,20016,Washington,District of Columbia,East
1193,Louis Parrish,Consumer,20016,Washington,District of Columbia,East
1193,Louis Parrish,Consumer,20016,Washington,District of Columbia,East
1282,Dana Sharpe,Small Business,19134,Philadelphia,Pennsylvania,East
1282,Dana Sharpe,Small Business,19134,Philadelphia,Pennsylvania,East
1282,Dana Sharpe,Small Business,19134,Philadelphia,Pennsylvania,East
3106,Alexander O'Brien,Home Office,77041,Houston,Texas,Central
491,Toni Swanson,Consumer,10154,New York City,New York,East
1044,Erin Ballard,Home Office,90004,Los Angeles,California,West
962,Yvonne Clarke,Home Office,60610,Chicago,Illinois,Central
2747,Brian Grady,Corporate,10115,New York City,New York,East
2747,Brian Grady,Corporate,10115,New York City,New York,East
2747,Brian Grady,Corporate,10115,New York City,New York,East
2747,Brian Grady,Corporate,10115,New York City,New York,East
478,Michael Wiggins,Small Business,10177,New York City,New York,East
478,Michael Wiggins,Small Business,10177,New York City,New York,East
3075,Gordon Brandt,Corporate,90061,Los Angeles,California,West
3075,Gordon Brandt,Corporate,90061,Los Angeles,California,West
3075,Gordon Brandt,Corporate,90061,Los Angeles,California,West
