Row ID,Order ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Day-of-the-month,Week,Month,Quarter,Year,Process Time Difference
2,6,Not Specified,0.01,2.08,2.56,2867,Dana Teague,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Kleencut® Forged Office Shears by Acme United Corporation,0.55,East,District of Columbia,Washington,20016,2/20/2013,2/21/2013,-4.64,2,6.93,20,8,2,1,2013,1 days 0 hrs 0 mins 
27,193,Critical,0.06,12.44,6.27,1821,Vanessa Boyer,Regular Air,Consumer,Office Supplies,Storage & Organization,Medium Box,Eldon Simplefile® Box Office®,0.57,East,New York,New York City,10177,8/7/2011,8/9/2011,-37.04,25,312.3,7,33,8,3,2011,2 days 0 hrs 0 mins 
52,322,Critical,0.08,155.99,8.08,1402,Wesley Tate,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,I888 World Phone,0.6,Central,Illinois,Chicago,60653,3/18/2013,3/20/2013,257.76,20,2634.86,18,12,3,1,2013,2 days 0 hrs 0 mins 
53,322,Critical,0.1,6.48,10.05,1402,Wesley Tate,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1997,0.37,Central,Illinois,Chicago,60653,3/18/2013,3/20/2013,-291.59,46,281,18,12,3,1,2013,2 days 0 hrs 0 mins 
62,358,High,0.02,48.58,54.11,2747,Brian Grady,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,O'Sullivan 2-Shelf Heavy-Duty Bookcases,0.69,East,New York,New York City,10115,9/19/2011,9/21/2011,-1348.06,60,2983.45,19,39,9,3,2011,2 days 0 hrs 0 mins 
63,358,High,0.07,39.48,1.99,2747,Brian Grady,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"80 Minute CD-R Spindle, 100/Pack - Staples",0.54,East,New York,New York City,10115,9/19/2011,9/19/2011,269.27,60,2247.04,19,39,9,3,2011,0 days 0 hrs 0 mins 
64,359,Medium,0.08,124.49,51.94,553,Kristine Connolly,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,0.63,West,California,Los Angeles,90008,12/18/2010,12/19/2010,-500.38,56,6831.37,18,51,12,4,2010,1 days 0 hrs 0 mins 
66,386,High,0.02,3.69,0.5,3289,Emily Britt,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 501,0.38,West,California,Los Angeles,90049,1/24/2012,1/26/2012,-0.048,4,14.96,24,4,1,1,2012,2 days 0 hrs 0 mins 
67,386,High,0.09,3.85,0.7,3289,Emily Britt,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,0.44,West,California,Los Angeles,90049,1/24/2012,1/26/2012,-2.544,4,15.69,24,4,1,1,2012,2 days 0 hrs 0 mins 
68,388,Not Specified,0.06,11.7,6.96,1630,Jimmy Han,Regular Air,Home Office,Office Supplies,Appliances,Medium Box,Harmony HEPA Quiet Air Purifiers,0.5,Central,Texas,Houston,77095,12/15/2013,12/18/2013,-94.73,92,1035.86,15,51,12,4,2013,3 days 0 hrs 0 mins 
